name,source,page,srd,category,cr,size,ac,hp_average,hp_formula,hit_dice,passive,str,dex,con,int,wis,cha,can_hover,can_fly,can_burrow,speed_walk,speed_fly,speed_swim,speed_climb,speed_burrow,save_con,save_int,save_wis,save_dex,save_cha,save_str,resist_fire,resist_cold,resist_lightning,resist_acid,resist_thunder,resist_poison,resist_necrotic,resist_radiant,resist_force,resist_psychic,resist_bludgeoning,resist_piercing,resist_slashing,resist_nonmagical_attacks,resist_nonmagical_attacks_not_silvered,resist_nonmagical_attacks_not_adamantine,immune_fire,immune_cold,immune_lightning,immune_acid,immune_thunder,immune_poison,immune_necrotic,immune_radiant,immune_force,immune_psychic,immune_bludgeoning,immune_piercing,immune_slashing,immune_nonmagical_attacks,immune_nonmagical_attacks_not_silvered,immune_nonmagical_attacks_not_adamantine,conditionImmune_charmed,conditionImmune_exhaustion,conditionImmune_frightened,conditionImmune_paralyzed,conditionImmune_poisoned,conditionImmune_grappled,conditionImmune_petrified,conditionImmune_prone,conditionImmune_restrained,conditionImmune_unconscious,conditionImmune_blinded,conditionImmune_deafened,conditionImmune_stunned,conditionInflict_charmed,conditionInflict_exhaustion,conditionInflict_frightened,conditionInflict_paralyzed,conditionInflict_poisoned,conditionInflict_grappled,conditionInflict_petrified,conditionInflict_prone,conditionInflict_restrained,conditionInflict_unconscious,conditionInflict_blinded,conditionInflict_deafened,conditionInflict_stunned,traitTags_Amphibious,traitTags_Keen Senses,traitTags_Legendary Resistances,traitTags_Magic Resistance,traitTags_Pounce,traitTags_Magic Weapons,traitTags_Antimagic Susceptibility,traitTags_False Appearance,traitTags_Sneak Attack,traitTags_Illumination,traitTags_Pack Tactics,traitTags_Death Burst,traitTags_Incorporeal Movement,traitTags_Devil's Sight,traitTags_Reckless,traitTags_Undead Fortitude,traitTags_Amorphous,traitTags_Spider Climb,traitTags_Regeneration,traitTags_Charge,traitTags_Brute,traitTags_Damage Absorption,traitTags_Immutable Form,traitTags_Light Sensitivity,traitTags_Turn Immunity,traitTags_Hold Breath,traitTags_Shapechanger,traitTags_Ambusher,traitTags_Fey Ancestry,traitTags_Sunlight Sensitivity,traitTags_Web Walker,traitTags_Siege Monster,traitTags_Web Sense,traitTags_Rejuvenation,traitTags_Flyby,traitTags_Turn Resistance,traitTags_Rampage,traitTags_Water Breathing,traitTags_Spell Immunity,traitTags_Aggressive,atk1_type,atk1_tohit,atk1_avg_dmg,atk1_dmg_roll,atk1_reach,atk1_range,atk2_type,atk2_tohit,atk2_avg_dmg,atk2_dmg_roll,atk2_reach,atk2_range,atk3_type,atk3_tohit,atk3_avg_dmg,atk3_dmg_roll,atk3_reach,atk3_range,spellcasting_Spellcasting,spellcasting_Innate Spellcasting,spellcasting_level,spellcasting_dc,spellcasting_atk,innate_spellcasting_dc,innate_spellcasting_atk,senseTags_SD,senseTags_D,senseTags_B,senseTags_U,senseTags_T,skill_perception,skill_history,skill_stealth,skill_medicine,skill_religion,skill_persuasion,skill_insight,skill_deception,skill_arcana,skill_athletics,skill_acrobatics,skill_survival,skill_intimidation,skill_investigation,skill_nature,skill_performance,skill_sleight of hand,skill_animal handling
Aarakocra,MM,12,0,humanoid,0.25,M,12,13,3d8,3,15,10,14,10,11,12,11,0,1,0,20,50,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,4,1d4 + 2,5,NA,"mw,rw",4,5,1d6 + 2,5,30,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,1,0,0,0,2,1,0,0,0,0,2,NA
Aboleth,MM,13,1,aberration,10,L,17,135,18d10 + 36,18,20,21,9,15,18,15,18,0,0,0,10,0,40,0,0,6,8,6,-1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,9,12,2d6 + 5,10,NA,mw,9,15,3d6 + 5,10,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,10,12,-1,2,4,4,2,4,4,5,-1,2,4,4,4,4,-1,NA
Abominable Yeti,MM,306,0,monstrosity,9,H,15,137,11d12 + 66,11,15,24,10,22,9,13,9,0,0,0,40,0,0,40,0,6,-1,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,11,14,2d6 + 7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,5,-1,4,1,-1,-1,1,-1,-1,7,0,1,-1,-1,-1,-1,0,NA
Acolyte,MM,342,1,humanoid,0.25,M,10,9,2d8,2,12,10,10,10,10,14,11,0,0,0,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,2,2,1d4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,12,4,0,0,0,0,0,0,0,2,0,0,4,2,0,2,0,0,0,0,2,0,0,0,0,0,NA
Adult Black Dragon,MM,88,1,dragon,14,H,19,195,17d12 + 85,17,21,23,14,21,14,13,17,0,1,0,40,80,40,0,0,10,2,6,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,11,17,2d10 + 6,10,NA,mw,11,13,2d6 + 6,5,NA,mw,11,15,2d8 + 6,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,11,2,7,1,2,3,1,3,2,6,2,1,3,2,2,3,2,NA
Adult Blue Dracolich,MM,84,0,undead,17,H,19,225,18d12 + 108,18,24,25,10,23,16,15,19,0,1,1,40,80,0,0,30,12,3,8,6,10,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,13,18,2d10 + 7,10,NA,mw,13,14,2d6 + 7,5,NA,mw,13,16,2d8 + 7,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,14,3,6,2,3,4,2,4,3,7,0,2,4,3,3,4,0,NA
Adult Blue Dragon,MM,91,1,dragon,16,H,19,225,18d12 + 108,18,22,25,10,23,16,15,19,0,1,1,40,80,0,0,30,11,3,7,5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,12,18,2d10 + 7,10,NA,mw,12,14,2d6 + 7,5,NA,mw,12,16,2d8 + 7,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,12,3,5,2,3,4,2,4,3,7,0,2,4,3,3,4,0,NA
Adult Brass Dragon,MM,105,1,dragon,13,H,18,172,15d12 + 75,15,21,23,10,21,14,13,17,0,1,1,40,80,0,0,40,10,2,6,5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,11,17,2d10 + 6,10,NA,mw,11,13,2d6 + 6,5,NA,mw,11,15,2d8 + 6,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,11,7,5,1,2,8,1,3,2,6,0,1,3,2,2,3,0,NA
Adult Bronze Dragon,MM,108,1,dragon,15,H,19,212,17d12 + 102,17,22,25,10,23,16,15,19,0,1,0,40,80,40,0,0,11,3,7,5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,12,18,2d10 + 7,10,NA,mw,12,14,2d6 + 7,5,NA,mw,12,16,2d8 + 7,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,12,3,5,2,3,4,7,4,3,7,0,2,4,3,3,4,0,NA
Adult Copper Dragon,MM,112,1,dragon,14,H,18,184,16d12 + 80,16,22,23,12,21,18,15,17,0,1,0,40,80,0,40,0,10,4,7,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,11,17,2d10 + 6,10,NA,mw,11,13,2d6 + 6,5,NA,mw,11,15,2d8 + 6,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,12,4,6,2,4,3,2,8,4,6,1,2,3,4,4,3,1,NA
Adult Gold Dragon,MM,114,1,dragon,17,H,19,256,19d12 + 133,19,24,27,14,25,16,15,24,0,1,0,40,80,40,0,0,13,3,8,8,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,14,19,2d10 + 8,10,NA,mw,14,15,2d6 + 8,5,NA,mw,14,17,2d8 + 8,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,14,3,8,2,3,13,8,7,3,8,2,2,7,3,3,7,2,NA
Adult Green Dragon,MM,94,1,dragon,15,H,19,207,18d12 + 90,18,22,23,12,21,18,15,17,0,1,0,40,80,40,0,0,10,4,7,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,11,17,2d10 + 6,10,NA,mw,11,13,2d6 + 6,5,NA,mw,11,15,2d8 + 6,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,12,4,6,2,4,8,7,8,4,6,1,2,3,4,4,3,1,NA
Adult Red Dragon,MM,98,1,dragon,17,H,19,256,19d12 + 133,19,23,27,10,25,16,13,21,0,1,0,40,80,0,40,0,13,3,7,6,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,14,19,2d10 + 8,10,NA,mw,14,15,2d6 + 8,5,NA,mw,14,17,2d8 + 8,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,13,3,6,1,3,5,1,5,3,8,0,1,5,3,3,5,0,NA
Adult Silver Dragon,MM,117,1,dragon,16,H,19,243,18d12 + 126,18,21,27,10,25,16,13,21,0,1,0,40,80,0,0,0,12,3,6,5,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,13,19,2d10 + 8,10,NA,mw,13,15,2d6 + 8,5,NA,mw,13,17,2d8 + 8,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,11,8,5,1,3,5,1,5,8,8,0,1,5,3,3,5,0,NA
Adult White Dragon,MM,101,1,dragon,13,H,18,200,16d12 + 96,16,21,22,10,22,8,12,12,0,1,1,40,80,40,0,30,11,-1,6,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,11,17,2d10 + 6,10,NA,mw,11,13,2d6 + 6,5,NA,mw,11,15,2d8 + 6,15,NA,0,0,0,0,0,0,0,1,0,1,0,0,11,-1,5,1,-1,1,1,1,-1,6,0,1,1,-1,-1,1,0,NA
Air Elemental,MM,124,1,elemental,5,L,15,90,12d10 + 24,12,10,14,20,14,6,10,6,1,1,0,0,90,0,0,0,2,-2,0,5,-2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,8,14,2d8 + 5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,5,0,-2,-2,0,-2,-2,2,5,0,-2,-2,-2,-2,5,NA
Allosaurus,MM,79,0,beast,2,L,13,51,6d10 + 18,6,15,19,13,17,2,12,5,0,0,0,60,0,0,0,0,3,-4,1,1,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,6,15,2d10 + 4,5,NA,mw,6,8,1d8 + 4,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,-4,1,1,-4,-3,1,-3,-4,4,1,1,-3,-4,-4,-3,1,NA
